ccode,year,cabbr,count,latitude,longitude,literacy,refugees,lnRefs,lnGDP,lnTrade,PolityLag
450,2005,,0,6.425350189,-9.062141418,,10168,9.22700119,5.745414257,4.497555733,3
450,2006,,0,6.425350189,-9.062141418,,,,5.781452656,4.628921986,5
450,2007,,0,6.425350189,-9.062141418,,,,5.823782444,4.498534203,6
451,1995,,1,8.542244911,-11.50973034,32,4700,8.455317497,6.231370926,3.808912039,
451,1996,,1,8.542244911,-11.50973034,32.5,13500,9.510444641,6.273093224,3.976042032,-7
451,1997,SLE,1,8.542244911,-11.50973034,33,13000,9.472704887,6.069021225,3.370962858,4
451,1998,,1,8.542244911,-11.50973034,33.5,9900,9.200289726,6.044770718,3.562880993,0
451,1999,SLE,1,8.542244911,-11.50973034,34,6600,8.7948246,5.936992645,3.71067214,0
451,2000,,0,8.542244911,-11.50973034,35,6500,8.779557228,5.943392277,4.052560329,0
451,2001,SLE,0,8.542244911,-11.50973034,36,10500,9.259130478,6.070881844,3.917687178,0
451,2002,,0,8.542244911,-11.50973034,37,63500,11.05879498,6.267662525,3.955812931,2
451,2003,,0,8.542244911,-11.50973034,38,61200,11.02190208,6.309161663,4.112577915,5
451,2004,,0,8.542244911,-11.50973034,39,65437,11.08884335,6.337058067,4.022005558,5
451,2005,,0,8.542244911,-11.50973034,40,59965,11.00151634,6.371599197,4.129695892,5
451,2006,,0,8.542244911,-11.50973034,41,,,6.415091515,4.105510235,5
451,2007,,0,8.542244911,-11.50973034,42,,,6.460109234,4.175102711,5
452,1995,,0,7.941534042,-1.008412957,66,83200,11.32900238,6.830022335,4.05044651,
452,1996,,0,7.941534042,-1.008412957,67,35600,10.48010063,6.84993124,4.279508591,-1
452,1997,GHA,0,7.941534042,-1.008412957,68,22900,10.03889179,6.86687088,4.447367668,2
452,1998,,0,7.941534042,-1.008412957,69,14600,9.588776588,6.889297962,4.389492989,2
452,1999,GHA,0,7.941534042,-1.008412957,70,13300,9.495519638,6.909178734,4.403116226,2
452,2000,,0,7.941534042,-1.008412957,71.5,12700,9.449357033,6.922442913,4.754007816,2
452,2001,GHA,0,7.941534042,-1.008412957,73,11800,9.375854492,6.938642979,4.700897217,2
452,2002,,0,7.941534042,-1.008412957,74.5,33500,10.41930103,6.959786415,4.579741955,6
452,2003,,0,7.941534042,-1.008412957,76,43900,10.68966961,6.987902641,4.577666759,6
452,2004,,0,7.941534042,-1.008412957,77.5,42053,10.6466856,7.020317078,4.601868153,6
452,2005,,0,7.941534042,-1.008412957,79,53537,10.88812828,7.056197643,4.582334995,8
452,2006,,0,7.941534042,-1.008412957,80.5,,,7.09744215,4.649870396,8
452,2007,,0,7.941534042,-1.008412957,82,,,7.139036655,4.55850935,8
461,1995,,0,8.554328918,1.156430006,50,10900,9.296518326,6.632976055,4.246299267,
461,1996,,0,8.554328918,1.156430006,51.5,12600,9.441452026,6.68379879,4.349276543,-2
461,1997,TGO,0,8.554328918,1.156430006,53,12700,9.449357033,6.781408787,4.301095009,-2
461,1998,,0,8.554328918,1.156430006,54.5,11800,9.375854492,6.7203269,4.29029274,-2
461,1999,TGO,0,8.554328918,1.156430006,56,12100,9.400960922,6.708125591,4.21788168,-2
461,2000,,0,8.554328918,1.156430006,57,12200,9.409191132,6.665995121,4.400039673,-2
461,2001,TGO,0,8.554328918,1.156430006,58,12300,9.417354584,6.632607937,4.415859699,-2
461,2002,,0,8.554328918,1.156430006,59,12300,9.417354584,6.643604279,4.448336601,-2
461,2003,,0,8.554328918,1.156430006,60,12400,9.425451279,6.642202854,4.396665096,-2
461,2004,,0,8.554328918,1.156430006,61,11285,9.331230164,6.64438343,4.388503551,-2
461,2005,,0,8.554328918,1.156430006,62,9287,9.136370659,6.630045891,4.408199787,-2
461,2006,,0,8.554328918,1.156430006,63,,,6.643053055,,-4
461,2007,,0,8.554328918,1.156430006,64,,,6.637625217,,-4
471,1995,,0,5.680263996,12.92409039,64,45800,10.73203945,7.401909828,3.722534895,
471,1996,,0,5.680263996,12.92409039,65.5,46400,10.7450552,7.425470829,3.732249022,-4
471,1997,CMR,0,5.680263996,12.92409039,67,47100,10.76002789,7.450819969,3.683567524,-4
471,1998,,0,5.680263996,12.92409039,68.5,47800,10.77478123,7.476157188,3.667062998,-4
